date,1. open,2. high,3. low,4. close,5. volume
2015-12-18 00:00:00-05:00,16.09,16.64,15.625,15.68,430612
2015-12-21 00:00:00-05:00,15.83,16.08,15.48,15.58,238033
2015-12-22 00:00:00-05:00,15.59,16,15.41,15.66,299528
2015-12-23 00:00:00-05:00,15.8,16.6,15.75,16.53,410173
2015-12-24 00:00:00-05:00,16.52,16.94,16.43,16.57,147938
2015-12-28 00:00:00-05:00,16.33,16.69,16.04,16.15,287798
2015-12-29 00:00:00-05:00,16.42,16.59,15.9701,16.43,279812
2015-12-30 00:00:00-05:00,16.26,16.4401,15.43,15.65,466460
2015-12-31 00:00:00-05:00,15.6,16.18,15.59,15.75,304677
2016-01-04 00:00:00-05:00,15.31,16.07,15.2101,15.8495,283968
2016-01-05 00:00:00-05:00,15.88,16.19,15.36,15.5,348445
2016-01-06 00:00:00-05:00,15.27,15.41,14.8808,15.19,370315
2016-01-07 00:00:00-05:00,14.82,14.85,14.03,14.21,658997
2016-01-08 00:00:00-05:00,14.5,15,14.22,14.69,478472
2016-01-11 00:00:00-05:00,14.76,14.87,13.39,13.53,709242
2016-01-12 00:00:00-05:00,14.02,14.25,13.3,13.84,462500
2016-01-13 00:00:00-05:00,14.01,14.36,13.26,13.32,269708
2016-01-14 00:00:00-05:00,13.47,14.47,13.3,14.28,399560
2016-01-15 00:00:00-05:00,13.67,14.19,13.5,14,550390
2016-01-19 00:00:00-05:00,14.58,14.73,13.6401,13.99,447579
2016-01-20 00:00:00-05:00,13.49,14.56,13.09,14.41,520058
2016-01-21 00:00:00-05:00,14.47,14.83,14.11,14.43,336250
2016-01-22 00:00:00-05:00,14.78,15.13,14.378,14.69,332408
2016-01-25 00:00:00-05:00,14.55,14.75,14.085,14.15,214749
2016-01-26 00:00:00-05:00,14.27,15.04,14.04,14.95,244725
2016-01-27 00:00:00-05:00,14.87,15.03,14.47,14.78,262742
2016-01-28 00:00:00-05:00,15,15.19,14.39,14.6,235187
2016-01-29 00:00:00-05:00,14.71,15.03,14.66,14.93,354473
2016-02-01 00:00:00-05:00,14.79,14.84,13.7,14.39,497129
2016-02-02 00:00:00-05:00,14.2,14.21,13.72,13.8,309823
2016-02-03 00:00:00-05:00,14,14.28,13.733,14.16,306664
2016-02-04 00:00:00-05:00,14.26,14.99,14.26,14.68,464938
2016-02-05 00:00:00-05:00,11.73,11.78,10.81,10.94,2180190
2016-02-08 00:00:00-05:00,10.7,10.83,9.81,10.26,1251804
2016-02-09 00:00:00-05:00,10.16,10.64,10.05,10.36,580183
2016-02-10 00:00:00-05:00,10.53,10.645,9.96,10.02,644243
2016-02-11 00:00:00-05:00,9.88,10.32,9.69,9.94,581307
2016-02-12 00:00:00-05:00,10.04,10.36,9.74,10.35,531164
2016-02-16 00:00:00-05:00,10.61,11.36,10.38,11.28,604526
2016-02-17 00:00:00-05:00,11.45,12.07,11.405,11.94,516151
2016-02-18 00:00:00-05:00,12.14,12.2,11.58,11.9,341118
2016-02-19 00:00:00-05:00,11.76,12.0475,11.65,11.88,219890
2016-02-22 00:00:00-05:00,12.11,12.3284,12.05,12.18,260313
2016-02-23 00:00:00-05:00,12.12,12.24,11.72,11.89,155971
2016-02-24 00:00:00-05:00,11.72,12.12,11.5,12.05,193141
2016-02-25 00:00:00-05:00,12.14,12.32,11.92,12.29,299369
2016-02-26 00:00:00-05:00,12.41,13,12.37,12.9,432994
2016-02-29 00:00:00-05:00,12.9,13.55,12.9,13.22,274051
2016-03-01 00:00:00-05:00,13.4,13.5,13.23,13.4,283570
2016-03-02 00:00:00-05:00,13.37,13.67,13.22,13.47,205141
2016-03-03 00:00:00-05:00,13.42,14.18,13.38,14.12,263525
2016-03-04 00:00:00-05:00,14.18,14.35,13.78,13.89,414579
2016-03-07 00:00:00-05:00,13.76,14.6799,13.73,14.48,377259
2016-03-08 00:00:00-05:00,14.3,14.34,13.6401,13.69,223007
2016-03-09 00:00:00-05:00,13.69,13.93,13.47,13.76,222724
2016-03-10 00:00:00-05:00,13.81,13.87,13.31,13.43,229914
2016-03-11 00:00:00-05:00,13.58,14.12,13.5217,14.04,213770
2016-03-14 00:00:00-04:00,14,14.23,13.85,14,172289
2016-03-15 00:00:00-04:00,13.81,13.82,13.2,13.36,275801
2016-03-16 00:00:00-04:00,13.23,14.21,13.23,14.18,216192
2016-03-17 00:00:00-04:00,14.17,14.49,14.04,14.31,233232
2016-03-18 00:00:00-04:00,14.38,14.58,14.1,14.16,244067
2016-03-21 00:00:00-04:00,14.07,14.19,13.73,13.73,308391
