date,1. open,2. high,3. low,4. close,5. volume
2015-12-16 00:00:00-05:00,8.49,8.49,7.95,8.34,73988
2015-12-17 00:00:00-05:00,8.33,8.64,8.24,8.48,14084
2015-12-18 00:00:00-05:00,8.51,8.58,8.3,8.37,5440
2015-12-21 00:00:00-05:00,8.5,8.5,8.28,8.31,4457
2015-12-22 00:00:00-05:00,8.3,8.31,8.16,8.3,12668
2015-12-23 00:00:00-05:00,8.33,8.75,8.26,8.735,26742
2015-12-24 00:00:00-05:00,8.73,8.95,8.51,8.87,9397
2015-12-28 00:00:00-05:00,8.88,9.029,8.705,8.9001,15956
2015-12-29 00:00:00-05:00,8.65,9.05,8.61,8.78,17248
2015-12-30 00:00:00-05:00,8.71,8.77,8.35,8.37,30297
2015-12-31 00:00:00-05:00,8.45,8.86,8.39,8.59,23978
2016-01-04 00:00:00-05:00,8.74,9.2,8.595,9.16,55607
2016-01-05 00:00:00-05:00,9.2,9.4,8.86,9.37,20397
2016-01-06 00:00:00-05:00,9.31,9.44,8.94,9.29,14311
2016-01-07 00:00:00-05:00,9,9,8.7648,8.85,20142
2016-01-08 00:00:00-05:00,8.9,9.06,8.79,8.88,18904
2016-01-11 00:00:00-05:00,8.71,8.9,8.13,8.16,64191
2016-01-12 00:00:00-05:00,8.25,8.25,7.97,8.11,11329
2016-01-13 00:00:00-05:00,8.15,8.15,7.67,7.9595,34796
2016-01-14 00:00:00-05:00,7.87,8.25,7.87,8.13,10112
2016-01-15 00:00:00-05:00,8.01,8.02,7.7401,7.83,12927
2016-01-19 00:00:00-05:00,7.98,8.09,7.6,7.75,9291
2016-01-20 00:00:00-05:00,7.63,7.91,7.4601,7.83,15597
2016-01-21 00:00:00-05:00,7.9,8.19,7.705,7.83,9959
2016-01-22 00:00:00-05:00,7.88,8.12,7.78,7.94,11599
2016-01-25 00:00:00-05:00,8.38,8.38,7.71,7.8,11122
2016-01-26 00:00:00-05:00,7.7,7.85,7.6,7.69,21117
2016-01-27 00:00:00-05:00,7.7,7.71,7.37,7.5,48208
