date,1. open,2. high,3. low,4. close,5. volume
2015-11-17 00:00:00-05:00,3.877,3.877,3.7601,3.852,1256
2015-11-18 00:00:00-05:00,3.9,3.9,3.37,3.37,393
2015-11-19 00:00:00-05:00,3.3501,3.6499,3.3501,3.6499,1443
2015-11-20 00:00:00-05:00,3.658,3.658,3.3601,3.3601,7
2015-11-23 00:00:00-05:00,3.66,3.66,2.97,3.2425,7488
2015-11-24 00:00:00-05:00,3.2325,3.2499,3.11,3.1101,5806
2015-11-25 00:00:00-05:00,3.2,3.396,3.15,3.235,690
2015-11-27 00:00:00-05:00,3.3,3.4099,3.2499,3.25,2603
2015-11-30 00:00:00-05:00,3.25,3.25,3.0801,3.11,2413
2015-12-01 00:00:00-05:00,3.2,3.25,3.2,3.2245,3580
2015-12-02 00:00:00-05:00,3.25,3.8999,3.25,3.66,31148
2015-12-03 00:00:00-05:00,3.69,4.4899,3.6005,4.2899,37171
2015-12-04 00:00:00-05:00,4.28,4.51,3.7801,4.2199,20026
2015-12-07 00:00:00-05:00,4,4,3.25,3.3001,24010
2015-12-08 00:00:00-05:00,3.25,3.7447,3.16,3.29,4791
2015-12-09 00:00:00-05:00,3.1438,3.3,3.1101,3.2,6424
2015-12-10 00:00:00-05:00,3.7,3.7,3.06,3.1986,3209
2015-12-11 00:00:00-05:00,3.3966,3.4,2.71,2.86,27270
2015-12-14 00:00:00-05:00,2.7801,2.87,2.66,2.67,11603
2015-12-15 00:00:00-05:00,2.61,3.152,2.51,2.92,10951
2015-12-16 00:00:00-05:00,3.09,3.1899,2.98,2.98,2568
2015-12-17 00:00:00-05:00,2.852,3.1219,2.852,2.96,3631
2015-12-18 00:00:00-05:00,3.1199,3.1199,2.76,2.95,634
2015-12-21 00:00:00-05:00,2.85,3.0799,2.7,3.0799,6723
2015-12-22 00:00:00-05:00,3.05,3.076,2.8901,3.05,1840
2015-12-23 00:00:00-05:00,2.9,3.0099,2.9,2.994,3009
2015-12-24 00:00:00-05:00,3.01,3.05,2.8301,3,720
2015-12-28 00:00:00-05:00,2.96,2.96,2.77,2.9262,7192
2015-12-29 00:00:00-05:00,2.8466,2.8999,2.82,2.8458,9229
2015-12-30 00:00:00-05:00,2.8,2.982,2.8,2.97,6508
2015-12-31 00:00:00-05:00,2.97,3.03,2.97,3.0299,2618
2016-01-04 00:00:00-05:00,3.03,3.17,2.95,3.12,1382
2016-01-05 00:00:00-05:00,3.1099,3.11,3.001,3.001,145
2016-01-06 00:00:00-05:00,3.1199,3.1199,2.827,2.95,232
2016-01-07 00:00:00-05:00,2.9758,2.9799,2.85,2.968,3401
2016-01-08 00:00:00-05:00,2.9,3.05,2.8701,2.9101,1643
2016-01-11 00:00:00-05:00,2.87,3.0499,2.87,3.006,2722
2016-01-12 00:00:00-05:00,3.018,3.02,2.9001,3.02,210
2016-01-13 00:00:00-05:00,3.0199,3.0199,2.9001,2.9101,472
2016-01-14 00:00:00-05:00,2.91,2.99,2.9,2.9301,1387
2016-01-15 00:00:00-05:00,2.96,3.08,2.89,2.89,2091
2016-01-19 00:00:00-05:00,3.02,3.02,2.9001,2.9001,61
2016-01-20 00:00:00-05:00,2.89,3.0299,2.89,3.0133,2609
2016-01-22 00:00:00-05:00,2.89,3.008,2.89,2.9,742
2016-01-25 00:00:00-05:00,3,3,3,3,25
2016-01-26 00:00:00-05:00,3,3,3,3,2
2016-01-27 00:00:00-05:00,3,3,2.89,2.9999,4117
2016-01-28 00:00:00-05:00,2.9,2.9,2.9,2.9,100
2016-01-29 00:00:00-05:00,2.98,2.98,2.89,2.89,2132
2016-02-01 00:00:00-05:00,2.9009,2.92,2.89,2.9199,500
2016-02-02 00:00:00-05:00,2.9,2.9198,2.56,2.56,271
2016-02-03 00:00:00-05:00,2.893,2.9,2.64,2.64,2368
2016-02-04 00:00:00-05:00,2.5501,2.86,2.5501,2.5701,237
2016-02-05 00:00:00-05:00,2.64,2.9,2.5501,2.9,1455
2016-02-08 00:00:00-05:00,2.52,2.52,2.51,2.51,11
2016-02-09 00:00:00-05:00,2.8,2.8,2.51,2.55,2106
2016-02-10 00:00:00-05:00,2.77,2.78,2.5101,2.5101,2013
2016-02-11 00:00:00-05:00,2.76,2.76,2.5101,2.5793,577
2016-02-16 00:00:00-05:00,2.53,2.69,2.52,2.672,1701
2016-02-17 00:00:00-05:00,2.53,2.6,2.5101,2.6,103
2016-02-18 00:00:00-05:00,2.5774,2.592,2.5587,2.5587,1297
2016-02-19 00:00:00-05:00,2.6,2.7,2.41,2.7,11454
2016-02-22 00:00:00-05:00,2.6899,2.6899,2.4601,2.4601,125
2016-02-23 00:00:00-05:00,2.68,2.68,2.43,2.5781,900
2016-02-24 00:00:00-05:00,2.6,2.668,2.5901,2.668,5135
2016-02-25 00:00:00-05:00,2.6,2.6703,2.6,2.6703,4114
2016-02-26 00:00:00-05:00,2.67,2.67,2.62,2.62,1721
2016-02-29 00:00:00-05:00,2.65,2.66,2.495,2.61,826
2016-03-01 00:00:00-05:00,2.6599,2.9699,2.63,2.79,1291
2016-03-02 00:00:00-05:00,2.96,3,2.69,2.9396,3514
2016-03-03 00:00:00-05:00,2.924,2.95,2.7401,2.817,311
2016-03-04 00:00:00-05:00,2.9908,2.9908,2.9908,2.9908,100
2016-03-07 00:00:00-05:00,2.9499,2.95,2.9499,2.9499,13
2016-03-08 00:00:00-05:00,2.66,2.95,2.6101,2.81,4728
