date,1. open,2. high,3. low,4. close,5. volume
2015-11-30 00:00:00-05:00,3.81,3.877,3.8,3.8,4600
2015-12-02 00:00:00-05:00,3.8999,3.8999,3.85,3.85,1500
2015-12-03 00:00:00-05:00,3.9,3.92,3.9,3.92,1850
2015-12-04 00:00:00-05:00,3.875,3.875,3.7,3.7,4068
2015-12-07 00:00:00-05:00,3.799,3.799,3.35,3.35,41434
2015-12-08 00:00:00-05:00,3.44,3.45,3.26,3.26,9396
2015-12-09 00:00:00-05:00,3.3,3.3,3.26,3.3,1080
2015-12-10 00:00:00-05:00,3.49,3.49,3.26,3.35,4328
2015-12-11 00:00:00-05:00,3.31,3.31,3.28,3.28,7044
2015-12-14 00:00:00-05:00,3.25,3.405,2.46,2.65,39956
2015-12-15 00:00:00-05:00,3.06,3.1,2.82,2.82,12763
2015-12-16 00:00:00-05:00,2.81,3.22,2.8,2.96,5336
2015-12-17 00:00:00-05:00,2.89,3.9,2.8,3.25,24587
2015-12-18 00:00:00-05:00,3.58,3.58,2.7,3.36,57058
2015-12-21 00:00:00-05:00,3.11,3.4099,3.0867,3.0867,830
2015-12-22 00:00:00-05:00,3,3.7,3,3.01,4714
2015-12-23 00:00:00-05:00,3.21,3.25,3,3.0499,10884
2015-12-28 00:00:00-05:00,3.7,3.7,3.06,3.06,22496
2015-12-29 00:00:00-05:00,3.06,3.4,3,3,9001
2015-12-30 00:00:00-05:00,3.08,3.35,2.99,3.3,3872
2015-12-31 00:00:00-05:00,3.37,3.5,3.2844,3.49,32974
2016-01-04 00:00:00-05:00,3.4999,3.899,3.29,3.39,12852
2016-01-05 00:00:00-05:00,3.64,3.9,3.44,3.64,3176
2016-01-07 00:00:00-05:00,3.77,3.8,3.51,3.68,5536
2016-01-08 00:00:00-05:00,3.68,3.8499,3.54,3.55,2613
2016-01-11 00:00:00-05:00,3.53,3.53,3.27,3.27,1776
2016-01-12 00:00:00-05:00,3.23,3.23,3,3.1799,2063
2016-01-13 00:00:00-05:00,3.15,3.17,3,3.11,5057
2016-01-14 00:00:00-05:00,3.11,3.3,3,3.03,6448
2016-01-15 00:00:00-05:00,3.2,3.3,3.1,3.165,4435
2016-01-19 00:00:00-05:00,3,3.2073,2.93,2.93,3335
2016-01-20 00:00:00-05:00,3.2,3.2,2.85,2.85,1277
2016-01-21 00:00:00-05:00,3.09,3.6,2.83,2.9,8897
2016-01-22 00:00:00-05:00,3.05,3.25,2.8756,2.8756,4827
2016-01-25 00:00:00-05:00,3,3.44,3,3.17,23642
2016-01-26 00:00:00-05:00,3.22,3.49,3.21,3.35,6120
2016-01-27 00:00:00-05:00,3.89,3.89,3.4025,3.85,7707
2016-01-28 00:00:00-05:00,3.31,3.64,3.31,3.34,363
2016-01-29 00:00:00-05:00,3.647,3.84,3.39,3.39,2651
2016-02-01 00:00:00-05:00,3.34,3.69,3.34,3.44,8803
2016-02-02 00:00:00-05:00,3.44,3.68,3.4,3.41,13769
2016-02-03 00:00:00-05:00,3.69,3.69,3.4,3.47,88
2016-02-04 00:00:00-05:00,3.6762,3.6762,3.3,3.428,850
