date,1. open,2. high,3. low,4. close,5. volume
2018-01-26 00:00:00-05:00,18.62,20.5,16.21,16.88,2296055
2018-01-29 00:00:00-05:00,17.21,17.21,15.83,16.29,280703
2018-01-30 00:00:00-05:00,16.28,16.5408,15.28,15.57,141680
2018-01-31 00:00:00-05:00,15.71,16.56,15.58,16.37,173795
2018-02-01 00:00:00-05:00,16.22,17.4008,16.001,16.89,79266
2018-02-02 00:00:00-05:00,16.6,17.25,16.05,17.25,138174
2018-02-05 00:00:00-05:00,16.95,17.25,15.78,16.78,194698
2018-02-06 00:00:00-05:00,16.72,17,15.5,16.09,98939
2018-02-07 00:00:00-05:00,16.02,16.7586,16,16.05,43970
2018-02-08 00:00:00-05:00,16.49,16.88,15.15,16.42,32848
2018-02-09 00:00:00-05:00,16.45,17,15.541,17,26751
2018-02-12 00:00:00-05:00,17,18.36,16.67,18.07,191596
2018-02-13 00:00:00-05:00,18.17,18.86,17.355,18.25,74851
2018-02-14 00:00:00-05:00,18,18.54,17.04,18.03,15055
2018-02-15 00:00:00-05:00,17.95,18.25,16.49,18.22,27710
2018-02-16 00:00:00-05:00,18.24,18.76,17.81,18.75,92239
2018-02-20 00:00:00-05:00,18.97,20,18.9,19.62,189318
2018-02-21 00:00:00-05:00,19.32,19.94,19.2289,19.7,72258
2018-02-22 00:00:00-05:00,19.76,20.74,19.35,19.65,70719
2018-02-23 00:00:00-05:00,19.88,20.98,19.8,20.62,100023
2018-02-26 00:00:00-05:00,21,21.0974,20.19,20.6,46308
2018-02-27 00:00:00-05:00,20.55,20.64,19.3,19.74,138725
2018-02-28 00:00:00-05:00,19.63,19.9,19.27,19.5,68243
2018-03-01 00:00:00-05:00,19.4,19.55,18.37,18.37,54278
2018-03-02 00:00:00-05:00,18.21,18.88,17.7075,17.71,99445
2018-03-05 00:00:00-05:00,17.84,18.89,17.4,17.44,39796
2018-03-06 00:00:00-05:00,17.71,18.5,16.501,17.21,158044
2018-03-07 00:00:00-05:00,17.07,17.6,16.66,16.95,95597
2018-03-08 00:00:00-05:00,17,17.72,16.03,16.16,84999
2018-03-09 00:00:00-05:00,16.3,17.24,15.56,16.04,96556
2018-03-12 00:00:00-04:00,15.9,16.5099,15.51,15.86,169620
2018-03-13 00:00:00-04:00,16.02,16.48,15.23,15.43,116089
2018-03-14 00:00:00-04:00,15.56,16.4,14.56,15.09,224563
2018-03-15 00:00:00-04:00,15.17,15.94,14.74,14.96,101056
2018-03-16 00:00:00-04:00,14.82,15.35,14.115,14.99,93322
2018-03-19 00:00:00-04:00,14.89,16.33,14.2,15.02,134376
2018-03-20 00:00:00-04:00,15.11,15.99,14.68,14.9,122096
2018-03-21 00:00:00-04:00,14.87,15.34,14.5,14.68,108116
2018-03-22 00:00:00-04:00,14.57,15,13.04,13.17,176908
2018-03-23 00:00:00-04:00,13.22,13.88,11.7,11.77,104116
2018-03-26 00:00:00-04:00,11.99,12.3599,10.76,10.94,84934
2018-03-27 00:00:00-04:00,10.97,11.7,10.56,11.16,85649
2018-03-28 00:00:00-04:00,11.22,11.22,10.16,10.54,74828
2018-03-29 00:00:00-04:00,10.6,11.04,9.35,9.53,88577
2018-04-02 00:00:00-04:00,9.55,10.88,8.5567,8.565,85525
2018-04-03 00:00:00-04:00,8.64,9.3,8.44,8.81,198691
2018-04-04 00:00:00-04:00,8.59,8.9,8.42,8.76,43857
2018-04-05 00:00:00-04:00,8.85,10.38,8.85,9.53,266752
2018-04-06 00:00:00-04:00,9.49,9.6699,8.2325,8.47,208786
2018-04-09 00:00:00-04:00,8.6,9.45,7.82,8.03,135624
2018-04-10 00:00:00-04:00,8.12,9.42,7.5461,9.38,126392
2018-04-11 00:00:00-04:00,9.36,9.99,8.76,9.43,107931
2018-04-12 00:00:00-04:00,9.61,10.26,9.07,9.18,105178
2018-04-13 00:00:00-04:00,9.24,9.49,8.8,8.95,126844
2018-04-16 00:00:00-04:00,9.03,9.19,8.57,8.58,113495
2018-04-17 00:00:00-04:00,8.68,8.999,8.2,8.38,113647
2018-04-18 00:00:00-04:00,8.45,9.2,8.39,9.09,95604
