date,1. open,2. high,3. low,4. close,5. volume
2019-02-21 00:00:00-05:00,0.8,0.8238,0.6701,0.7271,3684667
2019-02-22 00:00:00-05:00,0.7,0.73,0.66,0.728027,1973582
2019-02-25 00:00:00-05:00,0.7,0.78,0.691,0.7325,1592720
2019-02-26 00:00:00-05:00,0.75,0.7506,0.68,0.6856,1371119
2019-02-27 00:00:00-05:00,0.68,0.692,0.61,0.625,1916090
2019-02-28 00:00:00-05:00,0.6192,0.6289,0.57,0.574845,1528687
2019-03-01 00:00:00-05:00,0.575,0.62,0.531,0.617,2001769
2019-03-04 00:00:00-05:00,0.61,0.6169,0.59,0.61,795540
2019-03-05 00:00:00-05:00,0.61,0.69,0.6,0.6737,1960233
2019-03-06 00:00:00-05:00,0.68,0.6964,0.6261,0.6377,914014
2019-03-07 00:00:00-05:00,0.635,0.659,0.625,0.6438,654022
2019-03-08 00:00:00-05:00,0.64,0.8,0.62,0.7838,4482919
2019-03-11 00:00:00-04:00,0.7789,0.7789,0.68,0.725,2437138
2019-03-12 00:00:00-04:00,0.73,0.7473,0.69,0.716,1053261
2019-03-13 00:00:00-04:00,0.729,0.75495,0.705,0.72,1045812
2019-03-14 00:00:00-04:00,0.73,0.7398,0.69,0.6964,751446
2019-03-15 00:00:00-04:00,0.6957,0.7199,0.6801,0.7055,525826
2019-03-18 00:00:00-04:00,0.7,0.73,0.7,0.7029,671077
2019-03-19 00:00:00-04:00,0.701,0.71979,0.68,0.6969,752841
2019-03-20 00:00:00-04:00,0.71,0.7369,0.7,0.7018,1011794
2019-03-21 00:00:00-04:00,0.699,0.7,0.69,0.6945,505205
2019-03-22 00:00:00-04:00,0.698,0.698,0.65,0.6879,679623
2019-03-25 00:00:00-04:00,0.6863,0.7025,0.670882,0.68,427297
2019-03-26 00:00:00-04:00,0.675,0.6924,0.654,0.6652,506403
2019-03-27 00:00:00-04:00,0.6846,0.69,0.631,0.6592,1073409
2019-03-28 00:00:00-04:00,0.6423,0.6499,0.6201,0.63,593715
2019-03-29 00:00:00-04:00,0.6417,0.6438,0.619,0.6361,399926
2019-04-01 00:00:00-04:00,0.65,0.661,0.625,0.645,259863
2019-04-02 00:00:00-04:00,0.635,0.637,0.625,0.6297,358744
2019-04-03 00:00:00-04:00,0.63,0.6499,0.6292,0.6318,408332
2019-04-04 00:00:00-04:00,0.6585,0.7599,0.63,0.6705,5216074
2019-04-05 00:00:00-04:00,0.6702,0.68,0.64,0.6525,1323247
2019-04-08 00:00:00-04:00,0.66,0.6749,0.63,0.634379,635826
2019-04-09 00:00:00-04:00,0.68,0.68,0.64,0.6487,1112584
2019-04-10 00:00:00-04:00,0.6599,0.68,0.645,0.68,757470
2019-04-11 00:00:00-04:00,0.699,0.719,0.66,0.671357,1635831
2019-04-12 00:00:00-04:00,0.889,1.05,0.78,0.9901,26537639
