date,1. open,2. high,3. low,4. close,5. volume
2018-06-27 00:00:00-04:00,10.4,10.49,8.16,9.605,19374684
2018-06-28 00:00:00-04:00,10.2,10.37,9.0927,9.75,3376001
2018-06-29 00:00:00-04:00,10.01,10.06,8.81,9.01,2207255
2018-07-02 00:00:00-04:00,8.6,8.7692,8.01,8.16,2271711
2018-07-03 00:00:00-04:00,8.42,8.69,8.2,8.5,1188762
2018-07-05 00:00:00-04:00,8.38,8.47,7.65,7.82,2570299
2018-07-06 00:00:00-04:00,7.44,7.8722,7.05,7.34,2672617
2018-07-09 00:00:00-04:00,7.55,7.8,7.11,7.65,1765936
2018-07-10 00:00:00-04:00,7.7,7.7,7.34,7.45,1188176
2018-07-11 00:00:00-04:00,7.35,7.8,7.18,7.76,1525676
2018-07-12 00:00:00-04:00,7.83,8.6,7.7,8.44,1974068
2018-07-13 00:00:00-04:00,8.7,8.75,8.01,8.64,1626313
2018-07-16 00:00:00-04:00,8.58,8.6,8.28,8.39,1152073
2018-07-17 00:00:00-04:00,8.33,8.459,8.21,8.35,726403
2018-07-18 00:00:00-04:00,8.32,8.4,7.93,8.03,1051247
2018-07-19 00:00:00-04:00,7.91,7.949,7.54,7.54,1208947
2018-07-20 00:00:00-04:00,7.54,7.7,7.4,7.57,685945
2018-07-23 00:00:00-04:00,7.68,7.9,7.6,7.65,577217
2018-07-24 00:00:00-04:00,7.68,7.8,7.44,7.65,1008376
2018-07-25 00:00:00-04:00,7.65,7.77,7.49,7.58,655818
2018-07-26 00:00:00-04:00,7.47,7.57,6.91,6.96,1784957
2018-07-27 00:00:00-04:00,6.97,6.975,6.5,6.51,1357434
2018-07-30 00:00:00-04:00,6.51,6.59,5.4701,5.77,2394446
2018-07-31 00:00:00-04:00,5.83,6.16,5.08,6.15,2061717
2018-08-01 00:00:00-04:00,6,6.3,5.8501,6.16,926813
2018-08-02 00:00:00-04:00,6.09,6.78,5.62,6.75,1491270
2018-08-03 00:00:00-04:00,6.43,6.99,6.39,6.855,801025
2018-08-06 00:00:00-04:00,6.8,6.8,6.22,6.48,378162
2018-08-07 00:00:00-04:00,6.48,6.81,6.301,6.74,463403
2018-08-08 00:00:00-04:00,6.71,6.73,6.46,6.63,446803
2018-08-09 00:00:00-04:00,6.62,7.08,6.53,6.71,349458
2018-08-10 00:00:00-04:00,6.68,6.98,6.52,6.58,275320
2018-08-13 00:00:00-04:00,6.45,6.57,5.91,6.15,389545
2018-08-14 00:00:00-04:00,6.04,6.06,5.455,5.67,1419761
2018-08-15 00:00:00-04:00,5.35,5.6,5.22,5.26,424327
2018-08-16 00:00:00-04:00,5.58,5.69,5.35,5.56,891943
2018-08-17 00:00:00-04:00,5.52,5.64,5.24,5.26,739182
2018-08-20 00:00:00-04:00,5.33,5.55,5.13,5.18,782414
2018-08-21 00:00:00-04:00,5.3,6.58,5.26,6.24,3599631
2018-08-22 00:00:00-04:00,6.3,6.7,5.64,6.62,3169139
2018-08-23 00:00:00-04:00,6.62,7.0673,6.35,6.645,1711584
2018-08-24 00:00:00-04:00,6.63,6.63,6.11,6.16,635999
2018-08-27 00:00:00-04:00,6.2,6.4,5.94,6.22,958747
2018-08-28 00:00:00-04:00,6.21,6.39,6.13,6.3,421664
2018-08-29 00:00:00-04:00,6.27,6.33,6.1,6.18,383285
2018-08-30 00:00:00-04:00,6.18,6.225,5.8066,5.94,710437
2018-08-31 00:00:00-04:00,5.88,6.0521,5.79,5.95,287542
2018-09-04 00:00:00-04:00,5.93,5.95,5.8,5.93,255914
2018-09-05 00:00:00-04:00,5.83,5.86,5.34,5.425,1129716
2018-09-06 00:00:00-04:00,5.49,5.5773,5.301,5.33,590900
2018-09-07 00:00:00-04:00,5.33,5.66,5.26,5.38,447514
2018-09-10 00:00:00-04:00,5.39,5.44,5.28,5.34,445492
2018-09-11 00:00:00-04:00,5.34,5.41,5.18,5.2,665940
2018-09-12 00:00:00-04:00,5.2,5.27,4.88,5.04,1083006
2018-09-13 00:00:00-04:00,5.3,5.4,5.07,5.14,741531
2018-09-14 00:00:00-04:00,5.16,5.67,5.16,5.22,1243676
2018-09-17 00:00:00-04:00,5.2,5.3,5.03,5.04,344429
