date,1. open,2. high,3. low,4. close,5. volume
2015-09-14 00:00:00-04:00,4.75,4.75,4.56,4.58,1452
2015-09-15 00:00:00-04:00,4.57,4.64,4.5,4.56,44681
2015-09-16 00:00:00-04:00,4.64,4.65,4.54,4.54,6651
2015-09-17 00:00:00-04:00,4.55,4.6,4.55,4.58,880
2015-09-18 00:00:00-04:00,4.55,4.59,4.55,4.5884,9548
2015-09-21 00:00:00-04:00,4.57,4.65,4.57,4.6,8617
2015-09-22 00:00:00-04:00,4.59,4.64,4.5699,4.5699,21712
2015-09-23 00:00:00-04:00,4.59,4.59,4.4801,4.55,15884
2015-09-24 00:00:00-04:00,4.576,4.59,4.49,4.5,15068
2015-09-25 00:00:00-04:00,4.51,4.53,4.45,4.4504,2178
2015-09-28 00:00:00-04:00,4.49,4.5,4.4106,4.4457,25030
2015-09-29 00:00:00-04:00,4.45,4.5,4.42,4.5,3187
2015-09-30 00:00:00-04:00,4.45,4.55,4.45,4.49,5135
2015-10-01 00:00:00-04:00,4.48,4.55,4.441,4.48,3967
2015-10-02 00:00:00-04:00,4.5499,4.55,4.491,4.54,3893
2015-10-05 00:00:00-04:00,4.5499,4.5499,4.446,4.49,2916
2015-10-06 00:00:00-04:00,4.44,4.49,4.41,4.41,24531
2015-10-07 00:00:00-04:00,4.45,4.45,4.33,4.39,71632
2015-10-08 00:00:00-04:00,4.34,4.49,4.3,4.3462,36806
2015-10-09 00:00:00-04:00,4.34,4.34,4.13,4.25,48660
2015-10-12 00:00:00-04:00,4.27,4.51,4.22,4.42,13849
2015-10-13 00:00:00-04:00,4.39,4.48,4.25,4.3501,3443
2015-10-14 00:00:00-04:00,4.44,4.44,4.27,4.2701,7374
2015-10-15 00:00:00-04:00,4.2119,4.39,4.2105,4.27,10438
2015-10-16 00:00:00-04:00,4.31,4.31,4.26,4.26,11939
2015-10-19 00:00:00-04:00,4.15,4.37,4.11,4.1801,20792
2015-10-20 00:00:00-04:00,4.16,4.3999,4.16,4.2,5476
2015-10-21 00:00:00-04:00,4.18,4.346,4.15,4.15,13335
2015-10-22 00:00:00-04:00,4.45,4.47,4.19,4.2,10582
2015-10-23 00:00:00-04:00,4.21,4.29,4.21,4.225,1041
2015-10-26 00:00:00-04:00,4.26,4.26,4.19,4.2,9265
2015-10-27 00:00:00-04:00,4.2035,4.24,4.15,4.24,4236
2015-10-28 00:00:00-04:00,4.25,4.25,4.14,4.1417,4443
2015-10-29 00:00:00-04:00,4.15,4.3078,4.15,4.3078,3987
2015-10-30 00:00:00-04:00,4.23,4.34,4.23,4.3,11148
2015-11-02 00:00:00-05:00,4.34,4.34,4.25,4.264,5145
2015-11-03 00:00:00-05:00,4.334,4.34,4.15,4.15,10100
2015-11-04 00:00:00-05:00,4.15,4.29,4.15,4.151,4175
2015-11-05 00:00:00-05:00,4.33,4.33,4.13,4.13,9297
2015-11-06 00:00:00-05:00,4.19,4.2,4.11,4.125,10580
2015-11-09 00:00:00-05:00,4.12,4.14,3.7701,4.01,154078
2015-11-10 00:00:00-05:00,3.9001,4.08,3.9001,4.0299,979
2015-11-11 00:00:00-05:00,4.0499,4.0499,3.82,3.82,29729
2015-11-13 00:00:00-05:00,3.97,3.98,3.7119,3.73,8624
2015-11-16 00:00:00-05:00,3.74,3.95,3.74,3.75,7063
2015-11-17 00:00:00-05:00,3.7,3.7,3.4,3.43,22602
2015-11-18 00:00:00-05:00,3.5,3.59,3.44,3.48,3329
2015-11-19 00:00:00-05:00,3.45,3.65,3.45,3.49,7510
2015-11-20 00:00:00-05:00,3.461,3.6127,3.3,3.49,22222
2015-11-23 00:00:00-05:00,3.47,3.5193,3.47,3.51,3520
2015-11-24 00:00:00-05:00,3.5,3.5783,3.5,3.51,2881
2015-11-25 00:00:00-05:00,3.53,3.58,3.2,3.37,64664
2015-11-27 00:00:00-05:00,3.36,3.37,3.27,3.28,3399
2015-11-30 00:00:00-05:00,3.28,3.57,3.26,3.44,30871
2015-12-01 00:00:00-05:00,3.39,3.85,3.39,3.81,33354
2015-12-02 00:00:00-05:00,3.87,4.0511,3.8501,3.936,14115
2015-12-03 00:00:00-05:00,3.94,4.05,3.94,4,3966
2015-12-04 00:00:00-05:00,3.98,4.09,3.89,3.9,19073
2015-12-07 00:00:00-05:00,3.91,4.03,3.9,3.92,5850
2015-12-08 00:00:00-05:00,3.98,3.98,3.87,3.88,4937
2015-12-09 00:00:00-05:00,3.9,3.95,3.9,3.936,2891
2015-12-10 00:00:00-05:00,3.99,3.99,3.95,3.9501,5580
