date,1. open,2. high,3. low,4. close,5. volume
2015-12-11 00:00:00-05:00,31.35,31.46,29.63,29.84,2104947
2015-12-14 00:00:00-05:00,29.86,30.92,28.6542,29.56,1847490
2015-12-15 00:00:00-05:00,30.48,30.7299,29.26,30.69,1807047
2015-12-16 00:00:00-05:00,31.25,33.24,31.1001,32.97,1657254
2015-12-17 00:00:00-05:00,33.37,33.9,31.39,31.84,1075396
2015-12-18 00:00:00-05:00,31.82,32.93,31.33,31.36,912247
2015-12-21 00:00:00-05:00,31.72,31.9437,30.5009,31.78,849597
2015-12-22 00:00:00-05:00,32.96,33.78,30.75,31.37,1698442
2015-12-23 00:00:00-05:00,31.63,31.845,30.92,31.66,862818
2015-12-24 00:00:00-05:00,31.6,31.98,31.331,31.71,300348
2015-12-28 00:00:00-05:00,31.56,31.8699,30.87,30.97,1047158
2015-12-29 00:00:00-05:00,31.14,31.3352,30.07,30.7552,1173062
2015-12-30 00:00:00-05:00,30.8,32,30.5,31.47,1198511
2015-12-31 00:00:00-05:00,31.44,31.6952,30.14,30.16,1106470
2016-01-04 00:00:00-05:00,30,30.1035,28.77,29.21,1623279
2016-01-05 00:00:00-05:00,29.24,29.81,28.28,28.56,2112839
2016-01-06 00:00:00-05:00,27.94,28.5,25.06,26.23,2355033
2016-01-07 00:00:00-05:00,25.36,27.28,24.58,27.15,2096844
2016-01-08 00:00:00-05:00,27.52,27.84,25.18,25.67,1755411
2016-01-11 00:00:00-05:00,25.68,26.04,22.09,23.11,2833128
2016-01-12 00:00:00-05:00,23.4,24.65,21.623,23.29,1854999
2016-01-13 00:00:00-05:00,23.4,23.8199,21.23,21.4,2121579
2016-01-14 00:00:00-05:00,21.45,25.47,18.5201,25.1999,4183672
2016-01-15 00:00:00-05:00,23.51,27.13,22.27,27.13,3338494
2016-01-19 00:00:00-05:00,27.655,27.84,24.53,24.74,2899194
2016-01-20 00:00:00-05:00,23.2,26.76,21.62,26.25,1948829
2016-01-21 00:00:00-05:00,26.21,28.5,25.39,26.51,1798171
2016-01-22 00:00:00-05:00,26.51,28.39,26.45,27.64,1169838
2016-01-25 00:00:00-05:00,27.62,28.47,26.27,26.67,1101712
2016-01-26 00:00:00-05:00,26.75,27.05,25.29,25.94,1224659
2016-01-27 00:00:00-05:00,26.78,27.6626,25.09,26.42,1570594
2016-01-28 00:00:00-05:00,27.95,32.67,27.31,29.02,5926160
2016-01-29 00:00:00-05:00,30.13,31.43,26.62,29.02,3989476
2016-02-01 00:00:00-05:00,30.29,32.72,28.785,31.45,3323341
2016-02-02 00:00:00-05:00,31.58,32.75,29.29,30.73,2494190
2016-02-03 00:00:00-05:00,32.11,32.48,29.55,30.97,2429016
2016-02-04 00:00:00-05:00,31.39,35.7787,30.06,34.82,3365355
2016-02-05 00:00:00-05:00,34.75,36.834,33.17,35.96,2676410
2016-02-08 00:00:00-05:00,34.66,36.04,34.3418,35.04,1671851
2016-02-09 00:00:00-05:00,34.15,35.6845,32.6,33.89,1443633
2016-02-10 00:00:00-05:00,34.71,34.99,30.85,31.1799,1391250
2016-02-11 00:00:00-05:00,30.04,30.87,29.63,30.4,1180732
2016-02-12 00:00:00-05:00,30.78,31.244,28.66,29.45,1170652
2016-02-16 00:00:00-05:00,30,31.324,29.75,30.53,1169073
2016-02-17 00:00:00-05:00,31.45,33.04,31.45,32.32,1676301
2016-02-18 00:00:00-05:00,32.5,32.7,30.1,30.94,1193353
2016-02-19 00:00:00-05:00,30.75,33.49,29.96,32.41,1220919
2016-02-22 00:00:00-05:00,32.8,33.87,32.23,32.44,669535
2016-02-23 00:00:00-05:00,32.4,33.49,31.52,31.55,1055351
2016-02-24 00:00:00-05:00,30.95,32.47,29.64,32.23,1035672
2016-02-25 00:00:00-05:00,32.06,32.785,30.64,31.53,1035572
2016-02-26 00:00:00-05:00,31.85,34.69,31.14,33.72,1437130
2016-02-29 00:00:00-05:00,33.7,34.13,30.7,30.92,1442149
2016-03-01 00:00:00-05:00,32.75,33.84,30.65,33.67,2417105
2016-03-02 00:00:00-05:00,33.9,37.59,33.51,37.03,2584617
2016-03-03 00:00:00-05:00,36.95,38.6,36.35,37.2301,1814333
2016-03-04 00:00:00-05:00,37.3,38.5,36.6001,36.99,1647908
2016-03-07 00:00:00-05:00,38.04,40.24,37.9,38.75,2333829
2016-03-08 00:00:00-05:00,38.5,38.76,36.35,36.5,1481690
2016-03-09 00:00:00-05:00,36.85,38,36.01,37.53,734930
2016-03-10 00:00:00-05:00,37.8,38.1999,34.65,35.02,1330285
2016-03-11 00:00:00-05:00,35.8,38,35.6101,37.92,1574752
2016-03-14 00:00:00-04:00,38.45,38.89,36.9999,37.25,1060966
