date,1. open,2. high,3. low,4. close,5. volume
2018-09-21 00:00:00-04:00,26.5,28.03,22.5,24,2303869
2018-09-24 00:00:00-04:00,27,27.9899,24.54,26.8,181284
2018-09-25 00:00:00-04:00,27.31,27.31,25,25.02,89579
2018-09-26 00:00:00-04:00,25.2,25.92,24.1,24.75,104835
2018-09-27 00:00:00-04:00,24.75,25.2,24.1867,24.97,208854
2018-09-28 00:00:00-04:00,25.21,27.35,24.78,26.61,62636
2018-10-01 00:00:00-04:00,27.14,31,25.01,25.96,191423
2018-10-02 00:00:00-04:00,26.47,29.3,25.45,28.86,117898
2018-10-03 00:00:00-04:00,29.37,29.7,26.4,26.94,112208
2018-10-04 00:00:00-04:00,26.72,27.9196,22.18,23.385,275100
2018-10-05 00:00:00-04:00,23.85,26.75,23.03,25.4,120739
2018-10-08 00:00:00-04:00,25.73,25.73,23,23.98,166542
2018-10-09 00:00:00-04:00,24,25.2825,22.4,22.54,148139
2018-10-10 00:00:00-04:00,22.68,22.8,20.0293,22.205,130671
2018-10-11 00:00:00-04:00,22.19,23.55,20.7,22.15,257223
2018-10-12 00:00:00-04:00,22.63,23.46,20.51,20.73,241117
2018-10-15 00:00:00-04:00,21.37,23.07,20.82,21.37,144524
2018-10-16 00:00:00-04:00,22.4,22.52,20,21.02,434361
2018-10-17 00:00:00-04:00,21,21.72,19.2,19.58,155527
2018-10-18 00:00:00-04:00,19.63,22.5,18,21.8,126790
2018-10-19 00:00:00-04:00,21.8,22.05,21.2,22,60621
2018-10-22 00:00:00-04:00,21.48,22.25,21,21.67,101508
2018-10-23 00:00:00-04:00,21.89,22.9499,21,21.85,167422
2018-10-24 00:00:00-04:00,21.97,24.18,21.7884,22.39,137770
2018-10-25 00:00:00-04:00,22.5,24.8,22.5,23.78,138548
2018-10-26 00:00:00-04:00,23.77,24.79,21.9,22.34,216754
2018-10-29 00:00:00-04:00,22.34,24.09,22,22.435,184919
2018-10-30 00:00:00-04:00,22.84,24,22.84,23.7,136376
2018-10-31 00:00:00-04:00,24.16,24.915,24,24.31,122838
2018-11-01 00:00:00-04:00,24.47,25.09,24.03,25,251772
2018-11-02 00:00:00-04:00,25.66,26,24.31,25.38,116911
2018-11-05 00:00:00-05:00,26,26,24.87,25.6,107704
2018-11-06 00:00:00-05:00,25.73,25.755,25.27,25.64,67943
2018-11-07 00:00:00-05:00,25.77,25.8668,25.23,25.54,67302
2018-11-08 00:00:00-05:00,25.81,26.44,24.65,25.7,60723
2018-11-09 00:00:00-05:00,25.57,25.79,24.92,25.62,20431
2018-11-12 00:00:00-05:00,25.63,25.63,24.19,24.304,24065
2018-11-13 00:00:00-05:00,24.66,25.35,22.89,23.68,78086
2018-11-14 00:00:00-05:00,23.56,24.76,23.54,23.98,32087
2018-11-15 00:00:00-05:00,23.7,25.53,22.47,24.85,32827
2018-11-16 00:00:00-05:00,24.5,25.51,24.08,24.75,57961
2018-11-19 00:00:00-05:00,24.69,25.56,24.175,24.77,69544
2018-11-20 00:00:00-05:00,24.41,24.9,23.41,23.88,64721
2018-11-21 00:00:00-05:00,23.39,25.06,23.18,24.91,41041
2018-11-23 00:00:00-05:00,24.85,27.585,23.93,27.26,49839
2018-11-26 00:00:00-05:00,27.12,27.12,25.41,26.26,51526
2018-11-27 00:00:00-05:00,25.83,25.83,24.0296,24.315,43323
2018-11-28 00:00:00-05:00,24.19,26,22.7103,25.3,73007
2018-11-29 00:00:00-05:00,25.76,27.28,24.84,26.66,137405
2018-11-30 00:00:00-05:00,26.25,26.75,24.81,25.22,60580
2018-12-03 00:00:00-05:00,25.38,26.86,24.62,24.99,110657
2018-12-04 00:00:00-05:00,24.9,25.56,23.39,24.41,60864
2018-12-06 00:00:00-05:00,24.03,25.39,22.6915,23.48,96554
2018-12-07 00:00:00-05:00,23.3,24.57,22.25,22.5,94246
2018-12-10 00:00:00-05:00,22.71,22.8502,21.2,22.11,114408
2018-12-11 00:00:00-05:00,22.72,24.45,21.63,21.97,43168
2018-12-12 00:00:00-05:00,22.03,24.1426,21.09,22.08,45468
2018-12-13 00:00:00-05:00,21.56,22.35,20.22,21.33,61874
2018-12-14 00:00:00-05:00,21.45,22.0984,20.282,21.42,43653
2018-12-17 00:00:00-05:00,21.41,21.98,20,20.44,56558
2018-12-18 00:00:00-05:00,20.6,20.82,19.3,19.69,61947
2018-12-19 00:00:00-05:00,19.82,20.3804,18.66,18.94,68144
2018-12-20 00:00:00-05:00,18.85,18.85,17.37,18.3,125319
2018-12-21 00:00:00-05:00,18.87,18.87,16.57,16.97,117839
2018-12-24 00:00:00-05:00,16.76,16.76,15.17,15.41,33308
2018-12-26 00:00:00-05:00,15.72,17.79,15.72,17,37590
2018-12-27 00:00:00-05:00,16.89,17.28,16.1,17.19,104338
2018-12-28 00:00:00-05:00,17.5,18.78,17.5,18.55,74001
2018-12-31 00:00:00-05:00,18.89,20.75,18.1,20.065,122512
2019-01-02 00:00:00-05:00,19.96,20.4199,18.1101,18.18,124222
2019-01-03 00:00:00-05:00,18.21,20.49,18.21,20.45,83212
2019-01-04 00:00:00-05:00,20.49,20.76,19.615,19.9,88966
2019-01-07 00:00:00-05:00,20.01,22.5,19.73,22.23,51060
2019-01-08 00:00:00-05:00,22.5,22.5,20.1,21.7,29493
2019-01-09 00:00:00-05:00,21.95,24.21,21.8901,23.1577,41865
2019-01-10 00:00:00-05:00,23.37,24.69,22.85,24.4,77973
2019-01-11 00:00:00-05:00,24.55,24.99,22.75,23.4,32413
2019-01-14 00:00:00-05:00,23.28,24,21.87,22.02,30101
2019-01-15 00:00:00-05:00,23.25,24.275,22.03,22.37,91656
2019-01-16 00:00:00-05:00,22.17,23.68,22,22.925,45174
2019-01-17 00:00:00-05:00,23,23.52,22,22.77,28934
2019-01-18 00:00:00-05:00,23.18,23.18,21.805,22.345,25019
2019-01-22 00:00:00-05:00,23.04,23.4,20.53,20.68,27875
2019-01-23 00:00:00-05:00,20.75,22.2705,19.855,20.13,18246
2019-01-24 00:00:00-05:00,20.4,21.9,19.99,21.36,15878
2019-01-25 00:00:00-05:00,21.87,21.93,21.3,21.3,6926
2019-01-28 00:00:00-05:00,21.05,21.75,20.14,20.735,56999
2019-01-29 00:00:00-05:00,20.99,20.99,19.97,19.97,35491
2019-01-30 00:00:00-05:00,20.17,20.455,18.6,20.33,60391
2019-01-31 00:00:00-05:00,20.27,21.4,20.12,20.5,29543
2019-02-01 00:00:00-05:00,20.63,21.23,20.32,20.99,14689
2019-02-04 00:00:00-05:00,20.66,21.205,20.63,20.85,14098
2019-02-05 00:00:00-05:00,21.19,21.6718,20.31,21.11,12455
2019-02-06 00:00:00-05:00,21.13,21.32,20.18,20.19,9192
2019-02-07 00:00:00-05:00,19.87,20.68,19.77,20.68,10527
2019-02-08 00:00:00-05:00,20.39,20.86,20.39,20.86,2377
2019-02-11 00:00:00-05:00,20.51,21.61,20.51,21.51,12798
2019-02-12 00:00:00-05:00,21.19,21.45,20.05,21.45,11589
2019-02-13 00:00:00-05:00,21.72,22.43,21.5344,21.82,13335
