date,1. open,2. high,3. low,4. close,5. volume
2015-12-17 00:00:00-05:00,13.55,14.22,12.55,13.1,77668
2015-12-18 00:00:00-05:00,13.07,13.25,12.12,12.23,89044
2015-12-21 00:00:00-05:00,12.24,12.49,10.89,11.6501,43966
2015-12-22 00:00:00-05:00,11.66,11.8794,11.101,11.45,10807
2015-12-23 00:00:00-05:00,11.56,11.75,11.06,11.41,149586
2015-12-24 00:00:00-05:00,11.49,12.77,10.99,11.2299,60593
2015-12-28 00:00:00-05:00,11.09,11.91,10.6,10.61,39753
2015-12-29 00:00:00-05:00,10.63,10.8,9.78,10.18,77184
2015-12-30 00:00:00-05:00,10.07,10.16,9.3971,9.61,85723
2015-12-31 00:00:00-05:00,9.61,10.2,9.33,10.08,99359
2016-01-04 00:00:00-05:00,9.81,10.38,9,9.66,111645
2016-01-05 00:00:00-05:00,9.6,10.11,9.25,9.25,37047
2016-01-06 00:00:00-05:00,9.01,9.38,8.92,9.11,48525
2016-01-07 00:00:00-05:00,8.99,8.9987,8.23,8.76,34956
2016-01-08 00:00:00-05:00,8.78,9.35,8.72,8.77,42512
2016-01-11 00:00:00-05:00,8.8,9.24,8.08,8.55,55012
2016-01-12 00:00:00-05:00,8.6,9.03,8.19,8.43,39561
2016-01-13 00:00:00-05:00,8.86,9.17,7.9,8.03,58365
2016-01-14 00:00:00-05:00,8.06,8.66,7.42,8.6,41865
2016-01-15 00:00:00-05:00,8.27,8.44,7.36,7.8301,21578
2016-01-19 00:00:00-05:00,8,10.84,6.6,9.53,120007
2016-01-20 00:00:00-05:00,9.09,9.735,8.0625,9.39,60655
2016-01-21 00:00:00-05:00,9.28,10,8.84,9.47,28838
2016-01-22 00:00:00-05:00,9.68,9.68,8.99,9,52832
2016-01-25 00:00:00-05:00,8.9,9.7999,8.11,8.15,25635
2016-01-26 00:00:00-05:00,8.32,8.33,7.6115,7.66,58876
2016-01-27 00:00:00-05:00,7.6,8.01,7.05,7.18,29218
2016-01-28 00:00:00-05:00,7.26,7.52,6.2,6.31,148721
2016-01-29 00:00:00-05:00,6.37,6.72,6.33,6.65,30210
2016-02-01 00:00:00-05:00,6.64,6.64,6.36,6.36,59973
2016-02-02 00:00:00-05:00,6.31,7.22,6.17,6.305,15938
2016-02-03 00:00:00-05:00,6.4,6.4,5.8,6.06,37401
2016-02-04 00:00:00-05:00,6.09,6.53,6.09,6.31,27290
2016-02-05 00:00:00-05:00,6.28,6.56,6.07,6.18,15496
2016-02-08 00:00:00-05:00,6.06,6.51,5.8,5.85,35356
2016-02-09 00:00:00-05:00,5.8,6.17,5.14,5.37,45944
2016-02-10 00:00:00-05:00,5.4,6.34,4.78,5,190650
2016-02-11 00:00:00-05:00,4.9,6.14,4.64,6.14,93913
2016-02-12 00:00:00-05:00,6.28,7.0699,6.05,6.48,183710
2016-02-16 00:00:00-05:00,6.76,7,5.7407,6.16,201759
2016-02-17 00:00:00-05:00,6.39,6.64,6.2,6.381,47764
2016-02-18 00:00:00-05:00,6.45,6.5999,6.05,6.06,122476
2016-02-19 00:00:00-05:00,6.05,6.35,5.76,6.03,32577
2016-02-22 00:00:00-05:00,6.1,6.18,5.59,5.78,26092
2016-02-23 00:00:00-05:00,5.79,6.03,5.17,5.98,259203
2016-02-24 00:00:00-05:00,5.85,6.21,5.85,6.02,39982
2016-02-25 00:00:00-05:00,5.99,6.2,5.85,5.86,110384
2016-02-26 00:00:00-05:00,5.94,6.28,5.54,6.03,29306
2016-02-29 00:00:00-05:00,5.98,6.07,5.69,5.97,28997
2016-03-01 00:00:00-05:00,6.03,6.16,5.75,5.91,47387
2016-03-02 00:00:00-05:00,6,6.0763,5.8,5.99,59143
2016-03-03 00:00:00-05:00,6.04,6.04,5.75,5.91,40774
2016-03-04 00:00:00-05:00,6.08,6.45,5.81,6.39,120420
2016-03-07 00:00:00-05:00,6.41,8.3,6.41,8.25,255025
2016-03-08 00:00:00-05:00,8.17,8.86,7.7706,8,138180
2016-03-09 00:00:00-05:00,8.1,8.35,7.9,8.0001,47379
2016-03-10 00:00:00-05:00,8.18,8.42,7.75,7.94,22949
2016-03-11 00:00:00-05:00,8.05,8.5,7.8,8.44,167732
2016-03-14 00:00:00-04:00,11.87,21.5626,11.87,21.075,4312274
2016-03-15 00:00:00-04:00,20.81,20.81,14.01,14.04,1552855
2016-03-16 00:00:00-04:00,13.71,13.71,10.335,10.53,1230755
2016-03-17 00:00:00-04:00,11.26,11.85,9.72,10.02,1193671
2016-03-18 00:00:00-04:00,10.07,11,9.71,10.76,524007
2016-03-21 00:00:00-04:00,10.63,12.0698,10.58,11.46,737391
2016-03-22 00:00:00-04:00,11.56,11.98,10.8894,11.09,494372
2016-03-23 00:00:00-04:00,11.3,11.72,9.5,9.61,463058
2016-03-24 00:00:00-04:00,9.5,10.24,9.22,9.62,177803
2016-03-28 00:00:00-04:00,9.7,10.1599,9.26,9.37,111759
2016-03-29 00:00:00-04:00,9.31,9.66,8.55,9.64,380641
2016-03-30 00:00:00-04:00,9.62,10.09,9.2,9.48,190329
2016-03-31 00:00:00-04:00,9.43,9.8,9.31,9.42,115228
2016-04-01 00:00:00-04:00,9.4,9.94,9.2701,9.59,147372
2016-04-04 00:00:00-04:00,9.64,9.9775,9.45,9.49,74724
2016-04-05 00:00:00-04:00,9.4,11.3,9.4,10.92,581620
2016-04-06 00:00:00-04:00,10.69,11.6799,10.22,10.97,567379
2016-04-07 00:00:00-04:00,10.98,11.3,10.526,10.92,312322
2016-04-08 00:00:00-04:00,10.9,11,10.357,10.51,154265
2016-04-11 00:00:00-04:00,10.5,10.614,9.83,10.02,131885
2016-04-12 00:00:00-04:00,10.12,10.2,9.01,9.88,528289
2016-04-13 00:00:00-04:00,9.9,10.37,9.4,10.04,267777
2016-04-14 00:00:00-04:00,10.26,10.32,9.52,9.8,185583
2016-04-15 00:00:00-04:00,9.74,9.875,9.5,9.56,116596
2016-04-18 00:00:00-04:00,9.6,10.24,9.6,9.94,177865
2016-04-19 00:00:00-04:00,10.01,10.1875,9.35,9.5801,153753
2016-04-20 00:00:00-04:00,9.61,9.8824,9.4,9.7,80066
2016-04-21 00:00:00-04:00,9.8,10.19,9.7,10.02,115303
2016-04-22 00:00:00-04:00,10.11,10.6,9.63,9.75,217793
2016-04-25 00:00:00-04:00,9.79,10.1199,9.3,9.44,90680
2016-04-26 00:00:00-04:00,9.5,9.6899,9.1,9.29,144209
2016-04-27 00:00:00-04:00,9.34,9.4,8.91,9.04,124300
2016-04-28 00:00:00-04:00,8.94,9.49,8.81,8.84,92087
2016-04-29 00:00:00-04:00,8.78,8.78,7.87,8.14,178236
2016-05-02 00:00:00-04:00,8.13,8.21,7.6,7.74,104290
2016-05-03 00:00:00-04:00,7.67,8.07,7.55,7.61,82158
2016-05-04 00:00:00-04:00,7.54,7.54,7.05,7.23,116156
2016-05-05 00:00:00-04:00,7.29,7.3,6.85,6.97,109591
2016-05-06 00:00:00-04:00,6.91,7.21,6.72,6.9299,89770
2016-05-09 00:00:00-04:00,6.9,7.1199,6.88,6.99,60706
2016-05-10 00:00:00-04:00,7.06,7.11,6.75,6.82,60800
2016-05-11 00:00:00-04:00,6.76,6.9499,6.74,6.7701,58847
2016-05-12 00:00:00-04:00,6.75,6.9,6.02,6.23,113725
2016-05-13 00:00:00-04:00,6.2,6.6488,6.2,6.33,71801
2016-05-16 00:00:00-04:00,6.37,6.68,6.1218,6.54,167450
2016-05-17 00:00:00-04:00,6.5,7.57,6.47,6.97,248717
2016-05-18 00:00:00-04:00,7.02,7.53,6.8801,7.14,189466
2016-05-19 00:00:00-04:00,7.2,7.293,6.62,6.9,111434
2016-05-20 00:00:00-04:00,6.92,7.343,6.7501,7.24,125072
2016-05-23 00:00:00-04:00,7.23,7.5151,7.1,7.1,73442
2016-05-24 00:00:00-04:00,7.11,7.89,7.11,7.79,259159
2016-05-25 00:00:00-04:00,7.83,8.4,7.75,7.93,240799
2016-05-26 00:00:00-04:00,7.96,8.12,7.42,7.6,219216
